node_id,station_id,station_name,node_type,line,lon,lat
Metro_PanguangRoad,723,Panguang Road,regular,Line 7,121.351598417,31.365445218
Metro_LiuHang,724,Liu Hang,regular,Line 7,121.357774726,31.359381323
Metro_GangchengRoad,648,Gangcheng Road,central,,121.570374974,31.355142146
Metro_GangchengRoad_L06,648,Gangcheng Road,line,Line 6,121.570874974,31.355142146
Metro_GangchengRoad_L10,648,Gangcheng Road,line,Line 10,121.569874974,31.355142146
Metro_ShangchengRoad,941,Shangcheng Road,regular,Line 9,121.512034464,31.232726476
Metro_SongyuanRoad,1048,Songyuan Road,central,,121.407543286,31.198348293
Metro_SongyuanRoad_L10,1048,Songyuan Road,line,Line 10,121.40804328600001,31.198348293
Metro_SongyuanRoad_L12,1048,Songyuan Road,line,Line 12,121.407043286,31.198348293
Metro_NorthYanggaoRoad,1248,North Yanggao Road,regular,Line 12,121.598573379,31.282251196
Metro_EastXujing,234,East Xujing,regular,Line 2,121.295031968,31.190426253
Metro_XingzhongRoad,929,Xingzhong Road,regular,Line 9,121.364298895,31.160014256
Metro_HuangxingPark,846,Huangxing Park,regular,Line 8,121.52862169,31.298126414
Metro_XiuyanRoad,1161,Xiuyan Road,regular,Line 11,121.594253458,31.140388537
Metro_ZhangjiangHiTechPark,253,Zhangjiang Hi-Tech Park,regular,Line 2,121.583445308,31.204000442
Metro_GreatWorld,834,Great World,regular,Line 8,121.474712385,31.229130521
Metro_MiddleYanggaoRoad,943,Middle Yanggao Road,regular,Line 9,121.544387644,31.229674097
Metro_LongcaoRoad,2048,Longcao Road,central,,121.439715575,31.171622034
Metro_LongcaoRoad_L03,2048,Longcao Road,line,Line 3,121.440215575,31.171622034
Metro_LongcaoRoad_L12,2048,Longcao Road,line,Line 12,121.43921557499999,31.171622034
Metro_ShanghaiChildrensMedicalCenter,629,Shanghai Children's Medical Center,regular,Line 6,121.51890689,31.204842461
Metro_ShanghaiNaturalHistoryMuseum,1333,Shanghai Natural History Museum,regular,Line 13,121.457823884,31.238327541
Metro_Sijing,925,Sijing,regular,Line 9,121.2559243,31.120403035
Metro_ZhaofengRoad,1116,Zhaofeng Road,regular,Line 11,121.145740322,31.290849897
Metro_WulianRoad,640,Wulian Road,regular,Line 6,121.58378743,31.27414907
Metro_QixinRoad,1220,Qixin Road,regular,Line 12,121.35721193,31.132914547
Metro_Dabaishu,328,Dabaishu,regular,Line 3,121.47870274,31.291415275
Metro_SipingRoad,2018,Siping Road,central,,121.497061344,31.276968216
Metro_SipingRoad_L08,2018,Siping Road,line,Line 8,121.497561344,31.276968216
Metro_SipingRoad_L10,2018,Siping Road,line,Line 10,121.496561344,31.276968216
Metro_NorthXizangRoad,838,North Xizang Road,regular,Line 8,121.464264315,31.265306644
Metro_Fengzhuang,1323,Fengzhuang,regular,Line 13,121.350698505,31.244292623000003
Metro_SongjiangNewCity,921,Songjiang New City,regular,Line 9,121.226340383,31.032245093
Metro_ChangshuRoad,2017,Changshu Road,central,,121.446512851,31.215311025
Metro_ChangshuRoad_L01,2017,Changshu Road,line,Line 1,121.447012851,31.215311025
Metro_ChangshuRoad_L07,2017,Changshu Road,line,Line 7,121.44601285099999,31.215311025
Metro_Xujiahui,2025,Xujiahui,central,,121.433617821,31.193882267
Metro_Xujiahui_L01,2025,Xujiahui,line,Line 1,121.434117821,31.193882267
Metro_Xujiahui_L09,2025,Xujiahui,line,Line 9,121.433367821,31.194315279701893
Metro_Xujiahui_L11,2025,Xujiahui,line,Line 11,121.433367821,31.193449254298105
Metro_HengshanRoad,119,Hengshan Road,regular,Line 1,121.441944506,31.206619041
Metro_HangjinRoad,646,Hangjin Road,regular,Line 6,121.589807171,31.337549811
Metro_ShiguangRoad,849,Shiguang Road,regular,Line 8,121.527610735,31.324729476
Metro_MadangRoad,2031,Madang Road,central,,121.472724523,31.211562334
Metro_MadangRoad_L09,2031,Madang Road,line,Line 9,121.473224523,31.211562334
Metro_MadangRoad_L13,2031,Madang Road,line,Line 13,121.472224523,31.211562334
Metro_Huaqiao,1114,Huaqiao,regular,Line 11,121.099702972,31.300398755
Metro_WuzhouAvenue,643,Wuzhou Avenue,regular,Line 6,121.585133606,31.304728889
Metro_GuilinRoad,932,Guilin Road,regular,Line 9,121.413652527,31.176699229
Metro_ZhongxingRoad,837,Zhongxing Road,regular,Line 8,121.464500701,31.255223204
Metro_XinzhaRoad,124,Xinzha Road,regular,Line 1,121.463493379,31.24067856
Metro_JiadingNewCity,1134,Jiading New City,regular,Line 11,121.249887524,31.332106143
Metro_YuandongAvenue,261,Yuandong Avenue,regular,Line 2,121.751012842,31.201430591
Metro_WestJinshajiangRoad,1322,West Jinshajiang Road,regular,Line 13,121.330754923,31.243072825
Metro_Houtan,744,Houtan,regular,Line 7,121.469379488,31.174029921
Metro_EastNanjingRoad,2019,East Nanjing Road,central,,121.478953029,31.239024894
Metro_EastNanjingRoad_L02,2019,East Nanjing Road,line,Line 2,121.479453029,31.239024894
Metro_EastNanjingRoad_L10,2019,East Nanjing Road,line,Line 10,121.478453029,31.239024894
Metro_ZhongshanPark,2043,Zhongshan Park,central,,121.412622045,31.220078902
Metro_ZhongshanPark_L02,2043,Zhongshan Park,line,Line 2,121.41312204500001,31.220078902
Metro_ZhongshanPark_L03,2043,Zhongshan Park,line,Line 3,121.41237204500001,31.220511914701895
Metro_ZhongshanPark_L04,2043,Zhongshan Park,line,Line 4,121.41237204500001,31.219645889298107
Metro_ChuangxinCentralRoad,257,Chuangxin Central Road,regular,Line 2,121.669574879,31.215686458
Metro_ShilongRoad,312,Shilong Road,regular,Line 3,121.438667977,31.159856731
Metro_ZhenpingRoad,2024,Zhenping Road,central,,121.425155934,31.248182892
Metro_ZhenpingRoad_L03,2024,Zhenping Road,line,Line 3,121.425655934,31.248182892
Metro_ZhenpingRoad_L04,2024,Zhenping Road,line,Line 4,121.42490593400001,31.248615904701893
Metro_ZhenpingRoad_L07,2024,Zhenping Road,line,Line 7,121.42490593400001,31.247749879298105
Metro_TongjiUniversity,1062,Tongji University,regular,Line 10,121.501792382,31.283944779
Metro_MeilanLake,721,Meilan Lake,regular,Line 7,121.345259511,31.403775779
Metro_HongqiaoTerminal1,1043,Hongqiao Terminal 1,regular,Line 10,121.342591804,31.193518019000003
Metro_ShanghaiSouthRailwayStation,2027,Shanghai South Railway Station,central,,121.425368538,31.15649931
Metro_ShanghaiSouthRailwayStation_L01,2027,Shanghai South Railway Station,line,Line 1,121.425868538,31.15649931
Metro_ShanghaiSouthRailwayStation_L03,2027,Shanghai South Railway Station,line,Line 3,121.424868538,31.15649931
Metro_JiangwanTown,329,Jiangwan Town,regular,Line 3,121.480588797,31.307468902
Metro_ZhaojiabangRoad,2003,Zhaojiabang Road,central,,121.445871009,31.200675112
Metro_ZhaojiabangRoad_L07,2003,Zhaojiabang Road,line,Line 7,121.446371009,31.200675112
Metro_ZhaojiabangRoad_L09,2003,Zhaojiabang Road,line,Line 9,121.445371009,31.200675112
Metro_NorthWaigaoqiaoFreeTradeZoneStation,647,North Waigaoqiao Free Trade Zone Station,regular,Line 6,121.582724831,31.349940744
Metro_WenjingRoad,512,Wenjing Road,regular,Line 5,121.376150158,31.005526962
Metro_DishuiLake,1633,Dishui Lake,regular,Line 16,121.925777167,30.909305386
Metro_SouthShaanxiRoad,2056,South Shaanxi Road,central,,121.455464091,31.21914496
Metro_SouthShaanxiRoad_L01,2056,South Shaanxi Road,line,Line 1,121.455964091,31.21914496
Metro_SouthShaanxiRoad_L10,2056,South Shaanxi Road,line,Line 10,121.455214091,31.219577972701895
Metro_SouthShaanxiRoad_L12,2056,South Shaanxi Road,line,Line 12,121.455214091,31.218711947298107
Metro_DongluRoad,1246,Donglu Road,regular,Line 12,121.57507366,31.284688952
Metro_YunjinRoad,1152,Yunjin Road,regular,Line 11,121.453824439,31.169478023000003
Metro_SouthWaigaoqiaoFreeTradeZoneStation,645,South Waigaoqiao Free Trade Zone Station,regular,Line 6,121.59778165,31.323763133000003
Metro_NingguoRoad,1242,Ningguo Road,regular,Line 12,121.527936109,31.270559692
Metro_OrientalSportsCenter,2040,Oriental Sports Center,central,,121.476423914,31.15531154
Metro_OrientalSportsCenter_L06,2040,Oriental Sports Center,line,Line 6,121.476923914,31.15531154
Metro_OrientalSportsCenter_L08,2040,Oriental Sports Center,line,Line 8,121.476173914,31.155744552701893
